hello world
Loaded blender (138, 400, 400, 4) torch.Size([40, 4, 4]) [400, 400, 555.5555155968841] ./data/nerf_synthetic/lego
Begin
Number of TRAIN views are 100
Number of TEST views are 3
Number of VAL views are 13
Cleaning up existing TensorBoard files in ./logs/blender_lego_coarse/tensorboard
[Config] Center cropping of size 200 x 200 is enabled until iter 500
[TRAIN] Iter: 100 Loss: 0.11154385656118393  PSNR: 9.525543212890625
[TRAIN] Iter: 200 Loss: 0.09593101590871811  PSNR: 10.18040943145752
[TRAIN] Iter: 300 Loss: 0.09031300246715546  PSNR: 10.442497253417969
[TRAIN] Iter: 400 Loss: 0.047043681144714355  PSNR: 13.27498722076416
test poses shape torch.Size([3, 4, 4])
torch.Size([400, 400, 3]) torch.Size([400, 400])
Saved test results. Mean test PSNR: 16.53
[TRAIN] Iter: 500 Loss: 0.024315372109413147  PSNR: 16.141191482543945
[TRAIN] Iter: 600 Loss: 0.012829536572098732  PSNR: 18.917888641357422
[TRAIN] Iter: 700 Loss: 0.01349158026278019  PSNR: 18.699371337890625
[TRAIN] Iter: 800 Loss: 0.012115683406591415  PSNR: 19.166521072387695
[TRAIN] Iter: 900 Loss: 0.009329291991889477  PSNR: 20.301513671875
[TRAIN] Iter: 1000 Loss: 0.006055321078747511  PSNR: 22.178627014160156
[TRAIN] Iter: 1100 Loss: 0.010625511407852173  PSNR: 19.736501693725586
[TRAIN] Iter: 1200 Loss: 0.011299163103103638  PSNR: 19.46953582763672
[TRAIN] Iter: 1300 Loss: 0.010107497684657574  PSNR: 19.953563690185547
[TRAIN] Iter: 1400 Loss: 0.0062903608195483685  PSNR: 22.01324462890625
[TRAIN] Iter: 1500 Loss: 0.015278610400855541  PSNR: 18.159160614013672
[TRAIN] Iter: 1600 Loss: 0.00646621361374855  PSNR: 21.89349937438965
[TRAIN] Iter: 1700 Loss: 0.008640550076961517  PSNR: 20.634586334228516
[TRAIN] Iter: 1800 Loss: 0.005046585109084845  PSNR: 22.97002410888672
[TRAIN] Iter: 1900 Loss: 0.009873500093817711  PSNR: 20.055288314819336
test poses shape torch.Size([3, 4, 4])
torch.Size([400, 400, 3]) torch.Size([400, 400])
Saved test results. Mean test PSNR: 19.85
[TRAIN] Iter: 2000 Loss: 0.009818516671657562  PSNR: 20.079540252685547
[TRAIN] Iter: 2100 Loss: 0.006341800093650818  PSNR: 21.977874755859375
[TRAIN] Iter: 2200 Loss: 0.005326130427420139  PSNR: 22.735881805419922
[TRAIN] Iter: 2300 Loss: 0.007640100084245205  PSNR: 21.169010162353516
[TRAIN] Iter: 2400 Loss: 0.006751788314431906  PSNR: 21.705810546875
[TRAIN] Iter: 2500 Loss: 0.007122318260371685  PSNR: 21.473785400390625
[TRAIN] Iter: 2600 Loss: 0.00463414192199707  PSNR: 23.34030532836914
[TRAIN] Iter: 2700 Loss: 0.009311679750680923  PSNR: 20.309720993041992
[TRAIN] Iter: 2800 Loss: 0.008024332113564014  PSNR: 20.95591163635254
[TRAIN] Iter: 2900 Loss: 0.007986222393810749  PSNR: 20.976587295532227
[TRAIN] Iter: 3000 Loss: 0.007113311439752579  PSNR: 21.47928237915039
[TRAIN] Iter: 3100 Loss: 0.0070929089561104774  PSNR: 21.491756439208984
[TRAIN] Iter: 3200 Loss: 0.006731001194566488  PSNR: 21.71920394897461
[TRAIN] Iter: 3300 Loss: 0.005701098591089249  PSNR: 22.44041633605957
[TRAIN] Iter: 3400 Loss: 0.00727249588817358  PSNR: 21.38316535949707
[TRAIN] Iter: 3500 Loss: 0.005804955493658781  PSNR: 22.36201286315918
[TRAIN] Iter: 3600 Loss: 0.007162244524806738  PSNR: 21.449508666992188
[TRAIN] Iter: 3700 Loss: 0.0046707261353731155  PSNR: 23.306154251098633
[TRAIN] Iter: 3800 Loss: 0.007533462252467871  PSNR: 21.23005485534668
[TRAIN] Iter: 3900 Loss: 0.006545288022607565  PSNR: 21.840713500976562
[TRAIN] Iter: 4000 Loss: 0.008172217756509781  PSNR: 20.87660026550293
[TRAIN] Iter: 4100 Loss: 0.008159496821463108  PSNR: 20.883365631103516
[TRAIN] Iter: 4200 Loss: 0.006494335830211639  PSNR: 21.874650955200195
[TRAIN] Iter: 4300 Loss: 0.00592655036598444  PSNR: 22.27198028564453
[TRAIN] Iter: 4400 Loss: 0.008480481803417206  PSNR: 20.715795516967773
[TRAIN] Iter: 4500 Loss: 0.007846414111554623  PSNR: 21.053287506103516
[TRAIN] Iter: 4600 Loss: 0.004626508802175522  PSNR: 23.34746742248535
[TRAIN] Iter: 4700 Loss: 0.005150540731847286  PSNR: 22.881471633911133
[TRAIN] Iter: 4800 Loss: 0.006580514367669821  PSNR: 21.81740379333496
[TRAIN] Iter: 4900 Loss: 0.0056406049989163876  PSNR: 22.486743927001953
Saved checkpoints at ./logs/blender_lego_coarse/005000.tar
test poses shape torch.Size([3, 4, 4])
torch.Size([400, 400, 3]) torch.Size([400, 400])
Saved test results. Mean test PSNR: 21.21
[TRAIN] Iter: 5000 Loss: 0.00641138618811965  PSNR: 21.930479049682617
[TRAIN] Iter: 5100 Loss: 0.004764120560139418  PSNR: 23.220172882080078
[TRAIN] Iter: 5200 Loss: 0.006342398934066296  PSNR: 21.977462768554688
[TRAIN] Iter: 5300 Loss: 0.0062622195109725  PSNR: 22.032718658447266
[TRAIN] Iter: 5400 Loss: 0.007567986845970154  PSNR: 21.210195541381836
[TRAIN] Iter: 5500 Loss: 0.006360275205224752  PSNR: 21.965240478515625
[TRAIN] Iter: 5600 Loss: 0.0036419909447431564  PSNR: 24.386611938476562
[TRAIN] Iter: 5700 Loss: 0.007347608916461468  PSNR: 21.338537216186523
[TRAIN] Iter: 5800 Loss: 0.006282659247517586  PSNR: 22.018564224243164
[TRAIN] Iter: 5900 Loss: 0.0071497103199362755  PSNR: 21.457115173339844
[TRAIN] Iter: 6000 Loss: 0.004712573252618313  PSNR: 23.267417907714844
[TRAIN] Iter: 6100 Loss: 0.004643339663743973  PSNR: 23.331695556640625
[TRAIN] Iter: 6200 Loss: 0.0038086315616965294  PSNR: 24.19230842590332
[TRAIN] Iter: 6300 Loss: 0.005270207300782204  PSNR: 22.781723022460938
[TRAIN] Iter: 6400 Loss: 0.005388711579144001  PSNR: 22.685150146484375
[TRAIN] Iter: 6500 Loss: 0.005379233509302139  PSNR: 22.692794799804688
[TRAIN] Iter: 6600 Loss: 0.004127031192183495  PSNR: 23.8436222076416
[TRAIN] Iter: 6700 Loss: 0.005650520324707031  PSNR: 22.479116439819336
[TRAIN] Iter: 6800 Loss: 0.005848571192473173  PSNR: 22.329500198364258
[TRAIN] Iter: 6900 Loss: 0.004975485615432262  PSNR: 23.031644821166992
[TRAIN] Iter: 7000 Loss: 0.005286913365125656  PSNR: 22.76797866821289
[TRAIN] Iter: 7100 Loss: 0.005455610807985067  PSNR: 22.63156509399414
[TRAIN] Iter: 7200 Loss: 0.007051583379507065  PSNR: 21.517131805419922
[TRAIN] Iter: 7300 Loss: 0.00559021532535553  PSNR: 22.525714874267578
[TRAIN] Iter: 7400 Loss: 0.004089252091944218  PSNR: 23.883560180664062
[TRAIN] Iter: 7500 Loss: 0.004288136027753353  PSNR: 23.677316665649414
[TRAIN] Iter: 7600 Loss: 0.006695771124213934  PSNR: 21.741992950439453
[TRAIN] Iter: 7700 Loss: 0.00579206645488739  PSNR: 22.37166404724121
